Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak,Channel,ValNegPeak
proto1_post-stim_sw157,604.68,605.93,1.0,post-stim,604.97,605.46,E214,-49.463469221428824
proto1_post-stim_sw158,604.62,605.94,1.0,post-stim,604.96,605.48,E215,-52.534273707794426
proto1_post-stim_sw159,604.67,605.9,1.0,post-stim,604.96,605.44,E223,-56.11704994327271
proto1_post-stim_sw16,546.51,548.8,1.0,post-stim,546.79,548.32,E10,-41.46683519977937
proto1_post-stim_sw160,604.64,605.94,1.0,post-stim,604.95,605.45,E224,-57.11862204891792
proto1_post-stim_sw161,639.11,641.13,1.0,post-stim,639.92,640.85,E252,-46.560805126454966
proto1_post-stim_sw162,548.01,549.68,1.0,post-stim,548.36,549.32,E253,-49.51075582358023
proto1_post-stim_sw17,583.8,585.42,1.0,post-stim,584.58,585.09,E10,-43.23492643643545
proto1_post-stim_sw18,604.68,605.59,1.0,post-stim,604.95,605.37,E10,-50.574676309101406
proto1_post-stim_sw19,636.6,637.77,1.0,post-stim,636.87,637.44,E10,-56.02770689289983
proto1_post-stim_sw2,545.4,546.5,1.0,post-stim,545.7,546.21,E2,-41.97302365492504
proto1_post-stim_sw20,637.77,639.38,1.0,post-stim,638.12,638.62,E10,-59.70772755639014
proto1_post-stim_sw21,681.24,683.07,1.0,post-stim,681.81,682.54,E10,-44.804015977980654
proto1_post-stim_sw22,699.95,701.52,1.0,post-stim,700.51,701.14,E10,-51.0539248511779
proto1_post-stim_sw23,604.65,605.72,1.0,post-stim,604.95,605.4,E11,-57.529542515372974
proto1_post-stim_sw24,629.98,631.61,1.0,post-stim,630.48,631.04,E11,-40.84856731367271
proto1_post-stim_sw25,636.64,637.8,1.0,post-stim,636.89,637.42,E11,-56.45532604461446
proto1_post-stim_sw26,637.8,639.35,1.0,post-stim,638.15,638.63,E11,-66.92623101195636
proto1_post-stim_sw27,681.28,683.01,1.0,post-stim,681.84,682.56,E11,-44.22165444313532
proto1_post-stim_sw28,699.92,701.5,1.0,post-stim,700.46,701.11,E11,-46.490972139539096
proto1_post-stim_sw29,559.59,561.42,1.0,post-stim,559.83,561.05,E12,-44.54459157588728
proto1_post-stim_sw3,604.73,605.6,1.0,post-stim,604.96,605.38,E2,-43.47006411014287
proto1_post-stim_sw30,630.11,631.56,1.0,post-stim,630.49,631.11,E12,-49.02123344468153
proto1_post-stim_sw31,637.85,639.36,1.0,post-stim,638.16,638.62,E12,-61.359048339610204
proto1_post-stim_sw32,681.35,682.95,1.0,post-stim,681.9,682.59,E12,-40.90388152647782
proto1_post-stim_sw33,604.21,606.07,1.0,post-stim,604.94,605.45,E13,-58.33972126366964
proto1_post-stim_sw34,630.13,631.53,1.0,post-stim,630.48,631.09,E13,-49.59834335922922
proto1_post-stim_sw35,604.21,606.03,1.0,post-stim,604.94,605.47,E14,-46.19176040738523
proto1_post-stim_sw36,583.78,585.47,1.0,post-stim,584.58,585.08,E18,-43.1818020894673
proto1_post-stim_sw37,604.64,605.7,1.0,post-stim,604.94,605.4,E18,-59.31588468068972
proto1_post-stim_sw38,636.63,637.82,1.0,post-stim,636.88,637.46,E18,-60.816055517645296
proto1_post-stim_sw39,637.82,639.37,1.0,post-stim,638.14,638.6,E18,-70.33328182220711
proto1_post-stim_sw4,583.74,585.4,1.0,post-stim,584.58,585.07,E3,-41.97433704578694
proto1_post-stim_sw40,681.26,683.01,1.0,post-stim,681.89,682.57,E18,-51.53377341933955
proto1_post-stim_sw41,699.9,701.51,1.0,post-stim,700.47,701.1,E18,-51.05430892172792
proto1_post-stim_sw42,559.59,561.4,1.0,post-stim,559.84,561.02,E19,-42.51025653398777
proto1_post-stim_sw43,630.09,631.55,1.0,post-stim,630.51,631.1,E19,-47.0929935184064
proto1_post-stim_sw44,636.66,637.86,1.0,post-stim,636.9,637.48,E19,-57.578172416470245
proto1_post-stim_sw45,681.25,682.97,1.0,post-stim,681.94,682.57,E19,-52.9357204414121
proto1_post-stim_sw46,682.97,684.57,1.0,post-stim,683.35,684.25,E19,-44.94448741422817
proto1_post-stim_sw47,699.93,701.53,1.0,post-stim,700.46,701.08,E19,-46.977022478247996
proto1_post-stim_sw48,604.23,606.1,1.0,post-stim,604.94,605.48,E21,-48.25460153709736
proto1_post-stim_sw49,630.13,631.5,1.0,post-stim,630.5,631.11,E21,-48.6518849873669
proto1_post-stim_sw5,604.69,605.76,1.0,post-stim,604.96,605.42,E3,-58.61618908665176
proto1_post-stim_sw50,681.55,682.93,1.0,post-stim,682.0,682.59,E21,-43.09142931535138
